#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      302.0   168.7   127.6   206.3   220.9   277.8   304.6   320.3   333.8   348.1   370.2   411.0   948.1  2812.8  4313.9   4049.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      347.8   295.3   109.4   194.4   217.2   310.2   349.0   371.3   388.2   406.8   435.7   494.6  1479.8  4501.0  7395.1   9033.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      374.7   418.8   109.4   180.4   206.7   330.2   377.3   404.1   424.4   448.4   482.7   548.3  1438.8  6943.2 10266.1  13967.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      541.1   787.9   101.3   186.2   223.0   396.0   467.7   513.1   550.2   610.3   697.6  1400.3  3223.1 10976.1 16645.7  19075.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      453.0   474.0   101.3   175.3   209.1   384.8   458.9   503.1   538.6   586.9   655.7   799.7  1843.1  7409.3 11704.3  24027.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      678.6   711.5   101.3   184.6   226.2   451.9   587.2   700.1   838.8  1157.5  1691.3  1945.4  2958.6  7978.2 12805.6  28911.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      976.3   783.9    93.8   210.5   265.6   628.9  1230.4  1437.6  1761.0  1986.1  2114.3  2278.3  3269.0  5846.3  8891.6  33966.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1049.7   710.2    93.8   271.1   341.7   994.8  1301.1  1370.0  1425.8  1489.3  1778.4  2158.1  3352.9  6684.8  9201.7  38940.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1726.7   592.4   275.4  1302.9  1342.1  1510.3  1606.0  1787.0  2120.4  2259.8  2369.4  2773.8  4209.1  7410.7  9793.0  36957.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1679.1   507.3   275.4  1305.3  1348.7  1505.1  1586.0  1650.5  1818.0  2202.0  2331.1  2741.5  3217.1  6432.4  9044.3  38052.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1503.9   450.4   236.1  1219.0  1268.2  1398.2  1454.3  1480.7  1497.6  1563.9  1676.7  2620.4  3057.5  6169.2  8732.0  42507.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1617.5   452.1   437.0  1289.0  1315.4  1468.2  1546.5  1598.3  1679.1  1987.4  2239.5  2637.9  3167.2  4729.1  8585.5  39546.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1668.5   516.1   275.4  1308.5  1354.3  1506.3  1585.8  1643.0  1740.2  2058.6  2260.1  2765.6  3372.5  7049.7  9357.8  38315.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1529.7   492.5   346.9  1225.8  1281.1  1411.1  1466.7  1492.8  1541.2  1601.1  1877.8  2622.5  3154.3  7282.1 10723.9  41812.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1603.9   501.3   236.1  1257.0  1296.6  1442.5  1503.0  1582.0  1692.3  2021.8  2185.5  2654.7  3380.6  6384.8  8658.2  39875.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1680.1   528.3   160.7  1341.5  1396.6  1551.8  1607.5  1661.8  1705.5  1760.2  2077.1  2823.7  3495.6  7320.9 10660.2  38070.2
