#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      288.5   128.6   109.4   202.8   214.5   266.9   291.8   308.0   319.6   335.7   356.9   397.2   852.6  1558.5  2346.7   3980.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      331.5   205.8   118.1   192.6   216.0   306.0   343.3   365.0   380.8   400.0   427.1   474.6  1121.7  3310.0  4943.6   8976.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      349.5   181.3   101.3   178.6   204.8   332.2   378.9   405.2   425.4   448.6   478.4   533.3   815.9  2702.4  4573.2  14003.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      441.2   388.7   101.3   177.4   208.1   369.9   441.0   485.9   522.6   575.4   659.6   868.0  1940.2  5711.2  8464.4  19015.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      651.5   780.6   101.3   188.9   232.8   442.3   557.0   650.5   738.2   897.1  1229.6  1846.3  3993.7  8885.2 13519.7  23974.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      500.1   556.1   101.3   173.5   207.5   398.9   490.2   548.4   597.1   665.8   771.4  1056.0  2158.0  8113.1 10985.9  29064.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      689.2   716.6    93.8   188.0   232.3   464.5   609.7   738.6   917.3  1190.3  1428.9  1929.1  3326.1  7762.3 11185.2  33725.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      949.1   751.6    93.8   211.2   263.6   695.7  1195.9  1289.8  1397.6  1765.8  1903.1  2075.0  3600.5  7067.4 10495.2  39140.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1545.7   484.1   109.4  1165.8  1242.4  1417.8  1482.0  1550.3  1617.7  2025.6  2170.3  2551.3  2985.5  5082.1 10357.0  40704.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1583.4   442.2   148.8  1300.8  1339.2  1482.9  1547.8  1581.5  1602.6  1647.2  1741.6  2649.2  3160.0  6492.0  9136.8  40321.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1403.8   374.9   218.6  1138.3  1189.5  1308.9  1358.8  1382.3  1421.2  1469.1  1610.1  2450.4  2752.6  4013.8  7787.1  45503.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1675.1   495.5   160.7  1364.8  1402.0  1550.4  1605.0  1654.1  1697.5  1740.9  2140.0  2814.0  3283.4  7265.0  8718.2  38181.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1570.3   452.5   472.0  1260.7  1297.3  1438.3  1492.5  1556.2  1601.3  1736.3  2100.8  2624.6  3155.6  5725.3  7923.9  40712.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1447.6   450.4   173.5  1143.8  1195.6  1333.4  1382.2  1433.8  1469.8  1541.8  1920.4  2478.6  2844.1  5712.1 11395.6  44177.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1593.4   579.1   321.2  1274.6  1301.4  1441.1  1492.0  1553.0  1597.6  1720.8  2086.6  2707.9  3779.9  7865.5 11948.7  40141.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1680.0   612.8   297.4  1278.7  1306.5  1467.6  1576.2  1767.8  2062.1  2169.9  2315.6  2690.5  3854.8  7800.0 14848.9  38075.8
