#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      267.6   257.7    93.8   154.0   165.7   209.1   227.5   238.2   248.0   260.1   281.3   772.3  1595.6  2184.9  3403.0   4036.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      340.8   359.4    93.8   151.6   168.9   234.8   262.6   280.1   295.1   320.4   435.7  1168.8  2109.0  2303.7  3116.3   8967.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      381.8   383.4    86.8   146.7   166.5   258.3   295.1   319.9   344.5   394.7  1114.7  1223.2  2059.1  2326.8  4743.0  14069.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      398.8   362.3    93.8   144.3   164.2   278.8   327.8   363.8   402.1   535.8  1045.6  1234.9  1865.4  2350.1  3551.7  18945.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      476.6   436.9    86.8   141.2   162.8   304.6   379.5   459.1   588.0  1108.5  1220.4  1361.8  2117.4  2397.2  3087.2  24055.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      634.1   612.6    86.8   145.9   174.0   363.9   542.2   794.8  1152.6  1262.4  1411.1  2088.4  2763.5  3863.6  4991.6  29024.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1630.5  1140.3    86.8   280.4   423.6  1086.1  2588.0  2754.0  2852.3  2949.6  3113.1  3471.7  4388.4  5872.1  7939.7  33276.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1973.0  1140.6   101.3   691.8   753.6  1613.4  2821.4  2924.5  2989.0  3115.9  3282.4  3670.5  4654.2  6209.4  9891.8  32365.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1907.4  1141.9   148.8   674.1   731.6  1434.8  2767.8  2879.7  2949.5  3062.0  3266.1  3661.5  4773.1  5978.9  7517.1  33507.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1901.1  1125.6   127.6   674.7   731.8  1446.7  2779.7  2882.0  2946.0  3040.1  3216.8  3629.9  4368.0  5819.5  7479.7  33622.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1903.2  1118.5   101.3   692.1   746.5  1528.9  2780.2  2871.7  2929.0  2986.2  3207.1  3628.6  4599.3  5948.1 10103.3  33576.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     2005.9  1120.7   275.4   712.8   774.3  2002.9  2817.3  2927.5  2999.3  3123.1  3280.5  3686.5  4795.6  6243.7  9499.2  31879.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1910.4  1129.7   148.8   672.8   730.0  1446.3  2783.3  2889.2  2955.3  3062.4  3222.9  3639.0  4413.7  5832.4  6544.6  33476.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1935.4  1134.6   160.7   692.3   750.1  1536.0  2801.5  2893.3  2950.7  3045.1  3257.4  3659.3  4750.9  6041.2  8060.3  33045.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1877.7  1119.5   202.4   684.8   737.8  1417.7  2765.7  2859.3  2917.0  2974.6  3214.7  3624.6  4563.5  5822.0  6630.8  34061.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1942.3  1131.4   101.3   702.4   756.1  1539.0  2811.6  2903.3  2960.6  3067.8  3254.0  3660.2  4501.7  5957.1  8046.2  32924.6
