#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      289.5   287.8    93.8   162.7   175.0   219.2   236.0   248.4   257.0   271.1   296.3  1058.4  2048.8  2193.3  2346.4   4002.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      339.0   299.3    93.8   157.3   183.3   255.0   283.8   303.4   319.8   349.0   469.3  1141.2  1764.3  2257.3  2517.8   9010.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      404.4   397.9    86.8   146.4   172.0   272.0   313.0   341.2   370.6   444.4  1141.1  1269.0  2129.2  2356.4  5129.7  13994.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      423.4   372.0    86.8   144.5   168.7   298.5   353.4   399.1   456.7   611.0  1088.0  1283.4  1866.7  2375.3  3723.6  18997.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      529.8   482.0    86.8   143.7   169.1   327.8   428.2   549.5   760.6  1201.5  1301.8  1481.5  2269.4  2545.3  3630.9  23985.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1331.0  1162.5    93.8   178.0   233.3   944.6  1340.6  2359.0  2813.3  3025.0  3127.5  3230.0  4268.1  6094.0  7067.3  28720.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1885.9  1122.2   148.8   671.3   721.6  1418.8  2796.4  2887.9  2945.0  3023.7  3210.9  3606.2  4270.6  5751.0  7205.7  33474.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1948.1  1132.0   101.3   706.5   757.2  1563.3  2837.0  2913.6  2961.4  3054.8  3241.8  3653.9  4373.4  5952.3  7457.7  32813.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1987.9  1142.9   127.6   702.9   758.5  1624.0  2856.2  2940.8  2994.9  3124.0  3304.0  3667.2  4593.6  6165.1  8784.7  32154.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     2070.1  1153.2   101.3   727.6   785.2  2598.3  2906.5  2992.7  3086.7  3180.8  3377.5  3711.8  4634.9  6324.0  8212.3  30853.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1928.6  1138.1   137.8   700.0   753.1  1535.4  2832.1  2902.4  2946.3  2990.2  3236.4  3667.7  4355.6  5795.4 12805.3  33155.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1920.4  1134.0   118.1   693.5   748.9  1502.4  2819.6  2896.4  2944.4  2992.4  3302.3  3658.6  4389.7  5884.0  8305.9  33294.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1987.2  1147.0   109.4   707.6   761.6  1631.4  2856.0  2936.9  2987.5  3125.7  3335.0  3664.9  4555.6  6217.5  8112.8  32174.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1957.5  1140.8   118.1   707.9   761.9  1572.6  2842.3  2917.7  2964.9  3068.1  3294.4  3676.4  4399.9  6198.0  8376.9  32665.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1891.5  1130.3   137.8   665.1   719.4  1413.7  2800.0  2891.8  2949.1  3036.3  3217.9  3612.7  4301.2  5812.5  8691.9  33812.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     2021.2  1155.8    93.8   710.6   769.1  1767.1  2872.0  2951.8  3016.6  3149.6  3369.5  3699.5  4805.0  6284.5  8233.8  31640.0
